Quiz2
0.88125
1.0125
0.65
0.7625
0.925
0.8
0.925
0.75
0.7
0.8375
0.8625
0.9375
0.725
0.8875
0.875
0.875
0.8625
0.925
0.9375
0.8125
0.975
0.8375
0.875
0.95
0.75
0.9125
