quiz1_grade,section
0.85,sec5
0.71,sec5
0.61,sec5
0.73,sec5
0.88,sec5
0.46,sec5
0.93,sec5
0.93,sec5
0.80,sec5
0.83,sec5
0.93,sec5
0.82,sec5
0.80,sec4
0.96,sec4
0.79,sec4
0.87,sec4
0.87,sec4
0.70,sec4
0.93,sec4
0.63,sec4
0.76,sec4
0.70,sec4
0.82,sec4
0.96,sec4
0.45,sec4
0.87,sec4
