"Brand","Temperature","Bounce Height"
"Standard","Freezer",37
"Standard","Fridge",59
"Standard","Room",59
"Premium","Freezer",45
"Premium","Fridge",60
"Premium","Room",63
"Standard","Freezer",37
"Standard","Fridge",58
"Standard","Room",60
"Premium","Freezer",39
"Premium","Fridge",64
"Premium","Room",62
"Standard","Freezer",41
"Standard","Fridge",60
"Standard","Room",61
"Premium","Freezer",37
"Premium","Fridge",63
"Premium","Room",61
