"Country Name","Fertility","Life_expectancy"
"Tunisia","2.2","71.9"
"Turkey","2.07","71.984"
"Tuvalu","NA","NA"
"Tanzania","5.145","63.54"
"Uganda","5.775","56.743"
"Ukraine","1.498","66.25"
"Uruguay","2.02","73.512"
"United States","1.8615","76.6"
"Uzbekistan","2.2","65.04"
"St. Vincent and the Grenadines","1.974","70.871"
"Venezuela, RB","2.365","70.204"
"British Virgin Islands","NA","NA"
"Virgin Islands (U.S.)","1.75","76.7"
"Vietnam","1.961","71.014"
"Vanuatu","3.347","69.931"
"West Bank and Gaza","4.176","70.965"
"Samoa","4.086","70.405"
"Yemen, Rep.","4.16","62.486"
"South Africa","2.363","55.167"
"Congo, Dem. Rep.","6.006","57.247"
"Zambia","5.353","58.229"
"Zimbabwe","3.923","56.171"
