"Age(yr)","Diameter(in)"
4,1.8
5,1.8
8,2.2
8,4.4
8,6.6
10,4.4
10,7.7
12,10.8
13,7.7
14,5.5
16,9.9
18,10.1
20,12.1
22,12.8
23,10.3
25,14.3
28,13.2
29,9.9
30,13.2
30,15.4
33,17.6
34,14.3
35,15.4
38,11
38,15.4
40,16.5
42,16.5
