"Year","Rain"
1991,11.47
1992,21
1993,27.36
1994,8.11
1995,24.35
1996,12.46
1997,12.4
1998,31.01
1999,9.09
2000,11.57
2001,17.94
2002,4.42
2003,16.49
2004,9.24
2005,37.25
2006,13.19
2007,3.21
2008,13.53
2009,9.08
2010,16.36
2011,20.2
2012,8.69
2013,5.85
2014,6.08
2015,8.52
2016,9.65
2017,19
2018,4.79
