"time"
11
34
64
20
22
45
26
44
26
59
39
21
17
30
45
57
61
10
63
20
30
68
19
26
31
25
100
68
22
56
10
18
105
64
50
23
26
61
40
36
10
19
53
38
51
49
34
148
57
15
8
21
64
45
65
86
100
65
24
170
84
59
34
9
73
27
43
8
106
11
37
71
40
56
52
45
91
48
21
55
35
36
46
24
34
16
64
15
24
30
119
28
62
24
18
19
53
23
32
112
