"Hours","Parent","Activity","Year"
10,"Mothers","Childcare",1965
32,"Mothers","Housework",1965
8,"Mothers","Paid.work",1965
3,"Fathers","Childcare",1965
4,"Fathers","Housework",1965
42,"Fathers","Paid.work",1965
14,"Mothers","Childcare",2011
18,"Mothers","Housework",2011
21,"Mothers","Paid.work",2011
7,"Fathers","Childcare",2011
10,"Fathers","Housework",2011
37,"Fathers","Paid.work",2011
