"Player","Position","Team","Receptions","Yards","Avgyds","Longest","TDs","YDS/G","TAR","20+","FUM","YAC","1DN"
"Zach Ertz","TE","PHI",75,853,11.4,60,2,56.9,112,11,1,261,39
"Michael Floyd","WR","ARI",52,849,16.3,60,6,56.6,89,13,0,215,40
"Terrance Williams","WR","DAL",52,840,16.2,42,3,52.5,94,13,0,210,36
"Randall Cobb","WR","GB",79,829,10.5,53,6,51.8,129,11,0,417,42
"Benjamin Watson","TE","NO",74,825,11.1,46,6,51.6,109,13,1,240,42
"Marvin Jones","WR","CIN",65,816,12.6,47,4,51,103,13,0,275,33
"Golden Tate","WR","DET",90,813,9,43,6,50.8,128,7,1,525,50
"Alshon Jeffery","WR","CHI",54,807,14.9,50,4,89.7,93,14,1,190,43
"Rueben Randle","WR","NYG",57,797,14,72,8,49.8,90,13,0,194,35
"Anquan Boldin","WR","SF",69,789,11.4,51,4,56.4,110,10,1,272,35
"Pierre Garcon","WR","WSH",72,777,10.8,39,6,48.6,110,7,0,163,43
"Martavis Bryant","WR","PIT",50,765,15.3,88,6,69.5,92,10,1,350,25
"Danny Woodhead","RB","SD",80,755,9.4,61,6,47.2,106,7,0,688,39
"Markus Wheaton","WR","PIT",44,749,17,72,5,46.8,79,9,0,163,32
"Ted Ginn Jr.","WR","CAR",44,739,16.8,74,10,49.3,96,10,0,250,36
"Donte Moncrief","WR","IND",64,733,11.5,33,6,45.8,105,9,0,269,40
"Keenan Allen","WR","SD",67,725,10.8,38,4,90.6,89,8,0,261,34
"Stefon Diggs","WR","MIN",52,720,13.8,40,4,55.4,84,13,2,300,31
"Jason Witten","TE","DAL",77,713,9.3,35,3,44.6,104,4,1,220,36
"Theo Riddick","RB","DET",80,697,8.7,34,3,43.6,99,7,0,628,32
"Julian Edelman","WR","NE",61,692,11.3,59,7,76.9,88,8,1,327,37
"Jermaine Kearse","WR","SEA",49,685,14,50,5,42.8,68,13,1,224,32
"Kenny Britt","WR","LA",36,681,18.9,60,3,42.6,72,11,0,111,29
"Steve Smith Sr.","WR","BAL",46,670,14.6,50,3,95.7,73,13,0,263,28
"Tyler Lockett","WR","SEA",51,664,13,49,6,41.5,68,9,0,255,31
"Torrey Smith","WR","SF",33,663,20.1,76,4,41.4,61,8,0,206,23
"Rishard Matthews","WR","MIA",43,662,15.4,53,4,60.2,61,10,0,244,31
"Nate Washington","WR","HOU",47,658,14,49,4,47,95,9,0,155,33
"Jacob Tamme","TE","ATL",59,657,11.1,41,1,43.8,82,7,0,196,31
"Danny Amendola","WR","NE",65,648,10,41,3,46.3,87,5,0,280,32
"Antonio Gates","TE","SD",56,630,11.3,40,5,57.3,84,5,0,241,33
"Tyler Eifert","TE","CIN",52,615,11.8,31,13,47.3,72,8,0,227,38
"Jimmy Graham","TE","SEA",48,605,12.6,45,2,55,73,11,0,232,29
"Jamison Crowder","WR","WSH",59,604,10.2,44,2,37.8,79,7,2,251,34
"Devonta Freeman","RB","ATL",73,578,7.9,44,3,38.5,97,3,1,425,21
"Malcom Floyd","WR","SD",30,561,18.7,70,3,37.4,69,10,1,101,19
"Charles Sims","RB","TB",51,561,11,56,4,35.1,70,3,1,420,22
"Robert Woods","WR","BUF",47,552,11.7,37,3,39.4,81,5,2,148,27
"Dorial Green-Beckham","WR","TEN",32,549,17.2,47,4,34.3,66,10,0,149,30
"Vincent Jackson","WR","TB",33,543,16.5,36,3,54.3,64,13,0,121,28
"Eric Ebron","TE","DET",47,537,11.4,55,5,38.4,69,5,0,291,27
"Cole Beasley","WR","DAL",52,536,10.3,30,5,33.5,74,7,1,302,31
"Heath Miller","TE","PIT",60,535,8.9,27,2,35.7,81,5,0,210,29
"Duke Johnson Jr.","RB","CLE",61,534,8.8,52,2,33.4,74,8,1,440,23
"Charles Clay","TE","BUF",51,528,10.4,40,3,40.6,77,9,1,236,26
"DeSean Jackson","WR","WSH",30,528,17.6,77,4,52.8,49,10,0,155,15
"Brian Hartline","WR","CLE",46,523,11.4,41,2,43.6,74,4,1,169,30
"Marques Colston","WR","NO",45,520,11.6,53,4,40,67,6,0,197,26
"Owen Daniels","TE","DEN",46,517,11.2,37,3,32.3,77,6,0,260,27
"Brandon LaFell","WR","NE",37,515,13.9,54,0,46.8,74,7,0,232,22
"Richard Rodgers","TE","GB",58,510,8.8,61,8,31.9,85,6,0,224,27
"Roddy White","WR","ATL",43,506,11.8,25,1,31.6,70,6,0,116,27
"Andre Johnson","WR","IND",41,503,12.3,35,4,31.4,77,7,0,154,31
"Stevie Johnson","WR","SD",45,497,11,34,3,49.7,65,7,1,276,29
"Kyle Rudolph","TE","MIN",49,495,10.1,47,5,30.9,71,4,0,211,25
"Shane Vereen","RB","NYG",59,495,8.4,37,4,30.9,81,3,0,376,23
"DeVante Parker","WR","MIA",26,494,19,49,3,35.3,51,9,0,98,20
"Coby Fleener","TE","IND",54,491,9.1,57,3,30.7,85,4,0,147,23
"Dontrelle Inman","WR","SD",35,486,13.9,68,3,34.7,65,6,2,168,21
"Jerricho Cotchery","WR","CAR",39,485,12.4,59,3,34.6,53,6,0,177,26
"Cecil Shorts III","WR","HOU",42,484,11.5,42,2,44,74,5,1,223,27
"Davante Adams","WR","GB",50,483,9.7,40,1,37.2,93,6,0,124,20
"Jared Cook","TE","LA",39,481,12.3,49,0,30.1,73,7,2,200,19
"Seth Roberts","WR","OAK",32,480,15,43,5,30,55,7,0,138,21
"Tavon Austin","WR","LA",52,473,9.1,66,5,29.6,86,5,1,336,21
"Mike Wallace","WR","MIN",39,473,12.1,34,2,29.6,72,6,0,157,27
"Devin Funchess","WR","CAR",31,473,15.3,52,5,29.6,64,5,1,58,24
"Giovani Bernard","RB","CIN",49,472,9.6,45,0,29.5,66,7,1,470,18
"Marquess Wilson","WR","CHI",28,464,16.6,50,1,42.2,51,8,0,191,20
"Will Tye","TE","NYG",42,464,11,45,3,35.7,62,5,1,177,23
"David Johnson","RB","ARI",36,457,12.7,55,4,28.6,57,6,1,326,21
"Julius Thomas","TE","JAX",46,455,9.9,34,5,37.9,79,5,0,137,25
"Brandon Coleman","WR","NO",30,454,15.1,31,2,28.4,49,11,0,102,22
"Albert Wilson","WR","KC",35,451,12.9,44,2,32.2,57,6,0,220,19
"Chris Hogan","WR","BUF",36,450,12.5,46,2,28.1,59,6,0,104,18
"Corey Brown","WR","CAR",31,447,14.4,39,4,31.9,55,9,0,59,24
"Jarius Wright","WR","MIN",34,442,13,52,0,27.6,49,4,1,173,25
"Kenny Stills","WR","MIA",27,440,16.3,47,3,27.5,63,10,0,105,18
"Martellus Bennett","TE","CHI",53,439,8.3,24,3,39.9,80,5,2,226,24
"Zach Miller","TE","CHI",34,439,12.9,87,5,29.3,46,7,0,230,17
"Ladarius Green","TE","SD",37,429,11.6,31,4,33,63,5,0,224,24
"Crockett Gillmore","TE","BAL",33,412,12.5,46,4,41.2,46,5,0,253,17
"Harry Douglas","WR","TEN",36,411,11.4,51,2,29.4,71,4,0,131,22
"James White","RB","NE",40,410,10.3,68,4,29.3,54,6,0,297,19
