"Commutetime"
21
70
55
29
30
21
86
48
17
97
57
22
14
72
18
26
26
25
11
56
71
28
10
27
114
19
50
34
45
5
82
115
32
60
68
26
26
32
84
42
28
25
21
69
44
127
40
25
65
46
