"Employer","CEO","CEO_Compensation","Median_Worker_Comp","Ratio","Company_Rating","CEO_Compensation_($000)"
"Expedia","Dara Khosrowshahi",9642406,108555,89,4.1,964.2406
"Priceline.com","Darren Huston",21966094,90187,244,4,2196.6094
"Advance Auto Parts","Darren R. Jackson",4303711,35699,121,2.9,430.3711
"Yum!","David C. Novak",10007287,104443,96,3.4,1000.7287
"NRG Energy","David Crane",10335269,98500,105,3.5,1033.5269
"Allergan","David E. I. Pyott",17785957,105237,169,3.5,1778.5957
"Skyworks Solutions","David J. Aldrich",6912623,101842,68,3.8,691.2623
"Halliburton","David J. Lesar",20560157,79045,260,3.3,2056.0157
"Equity Residential","David J. Neithercut",8139683,58646,139,3.5,813.9683
"Cigna","David M. Cordani",14461445,66365,218,3.3,1446.1445
"Honeywell","David M. Cote, J.D.",29142121,86785,336,3.2,2914.2121
"Discovery Comm.","David M. Zaslav",156077912,80000,1951,3.8,15607.791
"Emerson","David N. Farr",9509258,79211,120,3.5,950.9258
"LabCorp","David P. King",10472562,35970,291,2.9,1047.2562
"Waste Management","David P. Steiner",10770856,60613,178,2.9,1077.0856
"Leggett & Platt","David S. Haffner",7242695,48354,150,3.4,724.2695
"Simon Property Group","David Simon",14739246,37660,391,2.9,1473.9246
"Fluor","David T. Seaton",12011493,86339,139,3.8,1201.1493
"Discover","David W. Nelms",8671740,77596,112,3.7,867.174
"Avery Dennison","Dean A. Scarborough",12013019,81680,147,3.2,1201.3019
"Sempra Energy","Debra L. Reed",16893225,80833,209,3.9,1689.3225
"Campbell Soup Company","Denise M. Morrison",9687089,102495,95,3.4,968.7089
"Lincoln Financial Group","Dennis R. Glass",12195333,54278,225,3.6,1219.5333
"HARMAN","Dinesh C. Paliwal",11965521,90263,133,3.3,1196.5521
"Parker Hannifin","Donald E. Washkewicz",15005720,71827,209,3.2,1500.572
"D.R. Horton","Donald J. Tomnitz",9306748,58000,160,2.8,930.6748
"Clorox","Donald R. Knauss",8949886,110064,81,3.8,894.9886
"McDonald's","Donald Thompson",7288578,17620,414,3,728.8578
"Republic Services","Donald W. Slager",5705379,62208,92,2.9,570.5379
"Tyson Foods","Donnie Smith",12173164,50145,243,3.5,1217.3164
"Waters","Douglas A. Berthiaume",1504903,92272,16,3.5,150.4903
"International Flavors & Fragrances","Douglas D. Tough, MBA, BBA",7433601,76909,97,3.3,743.3601
"McGraw Hill Financial","Douglas L. Peterson",6498116,108555,60,3.4,649.8116
"Ecolab","Douglas M. Baker, Jr.",15456822,62208,248,3.3,1545.6822
"Caterpillar","Douglas R. Oberhelman",17131448,86844,197,3.6,1713.1448
"Varian Medical Systems","Dow R. Wilson",6443998,94427,68,3.5,644.3998
"Weyerhaeuser","Doyle R. Simons",8144434,82674,99,3.2,814.4434
"Illinois Tool Works","E. Scott Santi",11999278,71182,169,2.9,1199.9278
"Alliance Data","Edward J. Heffernan",8727450,60601,144,3.4,872.745
"Joy Global","Edward L. Doheny, II",4534634,68407,66,2.8,453.4634
"DuPont","Ellen J. Kullman",14330612,86949,165,3.5,1433.0612
"PVH Corp.","Emanuel Chirico",13026532,45641,285,3.5,1302.6532
"VF","Eric C. Wiseman",17832902,61128,292,3.6,1783.2902
"ACE Group","Evan G. Greenberg",19678174,64395,306,3.1,1967.8174
"Hospira","F. Michael Ball",11897977,78760,151,3,1189.7977
"Akamai","F. Thomson Leighton",7499987,129603,58,4,749.9987
"Est_e Lauder Companies","Fabrizio Freda",15562714,74615,209,3.4,1556.2714
"The Home Depot","Francis S. Blake",9858833,25507,387,3.3,985.8833
"Cognizant Technology Solutions","Francisco DêSouza",11333063,85000,133,3.5,1133.3063
"FIS","Frank R. Martire",8845000,75850,117,3,884.5
"AMETEK","Frank S. Hermance",7109240,70814,100,2.8,710.924
"Northern Trust","Frederick H. Waddell",12435522,67258,185,3.4,1243.5522
"FedEx","Frederick W. Smith",14151977,59020,240,3.8,1415.1977
"Starwood Hotels & Resorts","Frits van Paasschen",12001943,44535,269,3.5,1200.1943
"Apache","G. Steven Farris",10214172,101559,101,3.3,1021.4172
"Southwest Airlines","Gary C. Kelly",5002785,52888,95,4.1,500.2785
"Applied Materials","Gary E. Dickerson",16425005,117550,140,3.5,1642.5005
"Newmont Mining","Gary J. Goldberg",9547404,110268,87,3.2,954.7404
"Marathon Petroleum","Gary R. Heminger",16401255,80000,205,4,1640.1255
